zipcode,city,state,metro,county,month,1_br_total,2_br_total,3_br_total,4_br_total,5+_br_total,1_br_psqft,2_br_psqft,3_br_psqft,4_br_psqft,5+_br_psqft,avg_house_size
10025,New York,NY,New York,New York,1,3025,3500,4495,4895,,4.956722589,4.573361082,,,,687.7918832
10025,New York,NY,New York,New York,2,3040.5,3500,4495,4947.5,,4.980536017,4.6,,,,685.673013
10025,New York,NY,New York,New York,3,3000,3500,4500,5175,,5,4.505809222,,,,688.3875046
10025,New York,NY,New York,New York,4,2975,3500,4500,5125,,5.1,4.660540541,,,,667.1595917
10025,New York,NY,New York,New York,5,2995,3585,4449,5300,,5.147404006,4.691964286,,,,672.9595027
10025,New York,NY,New York,New York,6,3000,3500,4295,5000,,5.058363715,4.820923657,,,,659.5395589
10025,New York,NY,New York,New York,7,2928,3500,4200,4800,,5,4.639285714,,,,670.013241
60657,Chicago,IL,Chicago,Cook,1,1400,1850,2500,3200,,1.973333333,1.85,1.733333333,1.75,,1245.084645
60657,Chicago,IL,Chicago,Cook,2,1440,1900,2595,3200,,1.99375,1.95,1.735087719,1.774536669,,1248.876315
60657,Chicago,IL,Chicago,Cook,3,1425,1950,2600,3575,,1.99375,1.944444444,1.785714286,1.859767442,,1273.96851
60657,Chicago,IL,Chicago,Cook,4,1445,1950,2600,3600,,2,1.95,1.817424242,1.8,,1288.27402
60657,Chicago,IL,Chicago,Cook,5,1450,1945,2669,3675,,2.032291667,1.994736842,1.866666667,1.855613426,,1274.711203
60657,Chicago,IL,Chicago,Cook,6,1450,1925,2600,3800,,2,1.993650794,1.832916667,1.921038961,,1271.79144
60657,Chicago,IL,Chicago,Cook,7,1450,1955,2600,3697.5,,2,1.995,1.790647198,1.933726736,,1267.262443
10023,New York,NY,New York,New York,1,3295,5110,6995,,,4.822379231,5.100348432,,,,842.5825095
10023,New York,NY,New York,New York,2,3295,5300,6999,,,4.850488181,5.355172911,,,,834.5051673
10023,New York,NY,New York,New York,3,3225,4950,6995,,,4.8,5.119472462,,,,819.3857495
10023,New York,NY,New York,New York,4,3295,4800,6999,,,4.907059421,5.075384615,,,,808.6113555
10023,New York,NY,New York,New York,5,3300,4912.5,7288,,,5.102505695,5.138596491,,,,801.3707064
10023,New York,NY,New York,New York,6,3300,4975,6972.5,,,5,5.099601594,,,,817.7832031
10023,New York,NY,New York,New York,7,3300,5000,6890,,,4.866986677,5.146221323,,,,824.8121348
75070,McKinney,TX,Dallas-Fort Worth,Collin,1,1050,1395,1750,1900,,1.360736196,1.223430962,0.986632718,0.808178497,,1509.138141
75070,McKinney,TX,Dallas-Fort Worth,Collin,2,1056,1399,1755,1975,,1.385064223,1.241351569,0.993816701,0.813575081,,1520.723319
75070,McKinney,TX,Dallas-Fort Worth,Collin,3,1080,1356,1750,1995,,1.437235543,1.229996016,0.988228005,0.839763051,,1500.100429
75070,McKinney,TX,Dallas-Fort Worth,Collin,4,1020,1357.5,1775,2000,,1.399449036,1.209111218,1.008426966,0.848194867,,1492.424905
75070,McKinney,TX,Dallas-Fort Worth,Collin,5,1071,1383,1795,2095,,1.40641052,1.236966825,0.996184824,0.82867331,,1552.395607
75070,McKinney,TX,Dallas-Fort Worth,Collin,6,1075,1419,1792.5,2100,,1.347742656,1.24534465,1.029641286,0.838815789,,1545.375149
75070,McKinney,TX,Dallas-Fort Worth,Collin,7,1075.5,1430,1795,2070,,1.377410468,1.269957983,1.029411765,0.846088767,,1524.275149
77494,Katy,TX,Houston,Harris,1,1179,1650,1857,2300,3200,1.488469602,1.360924683,1.05566262,0.830986554,0.846755637,2062.101869
77494,Katy,TX,Houston,Harris,2,1175,1640,1859,2300,3000,1.48090131,1.360924683,1.049107757,0.843959899,0.784210526,2064.2464
77494,Katy,TX,Houston,Harris,3,1190,1656,1889.5,2299,3100,1.48516129,1.360924683,1.043719212,0.842533411,0.822490195,2065.229874
77494,Katy,TX,Houston,Harris,4,1205,1656,1879,2287.5,3100,1.468140442,1.360924683,1.031017751,0.849181661,0.815494393,2071.040368
77494,Katy,TX,Houston,Harris,5,1200,1635,1890,2300,3100,1.466681396,1.360924683,1.016673444,0.858865242,0.833635375,2055.034188
77494,Katy,TX,Houston,Harris,6,1177,1650,1850,2275,2975,1.48409894,1.391803288,0.970745024,0.842696629,0.837496327,2027.251995
77494,Katy,TX,Houston,Harris,7,1209,1619,1869,2210,3000,1.520156047,1.373290793,0.979153506,0.833965125,0.81555378,2042.299549
60614,Chicago,IL,Chicago,Cook,1,1575,2097.5,2750,3300,,2.220689655,2.075235849,1.918333333,1.770833333,,1254.258272
60614,Chicago,IL,Chicago,Cook,2,1610,2050,2850,3300,,2.2,2.075471698,1.9375,1.895854398,,1232.788299
60614,Chicago,IL,Chicago,Cook,3,1595,2100,2875,3300,,2.291666667,2.105555556,1.996153846,2.03125,,1189.561653
60614,Chicago,IL,Chicago,Cook,4,1600,2127.5,2875,3775,,2.32,2.124276062,2.096153846,2.140625,,1206.55903
60614,Chicago,IL,Chicago,Cook,5,1600,2090,2850,4200,,2.291666667,2.142857143,2.076923077,2.198546334,,1239.022641
60614,Chicago,IL,Chicago,Cook,6,1595,2100,2895,3995,,2.308333333,2.192307692,2,2.12962963,,1243.070627
60614,Chicago,IL,Chicago,Cook,7,1575,2100,2800,3995,,2.311712185,2.2,2.038461538,1.9975,,1252.360887
77084,Houston,TX,Houston,Harris,1,919,1240,1400,1600,,1.24929972,1.091666667,0.856072766,0.688093225,,1458.032822
77084,Houston,TX,Houston,Harris,2,965,1191,1450,1599,,1.26587963,1.048145225,0.847457627,0.691514299,,1480.481325
77084,Houston,TX,Houston,Harris,3,910,1145,1450,1600,,1.22101181,1.045822102,0.85094828,0.701590271,,1456.157674
77084,Houston,TX,Houston,Harris,4,972.5,1247,1450,1637.5,,1.330162075,1.138888889,0.851197982,0.692302101,,1473.704776
77084,Houston,TX,Houston,Harris,5,972,1321,1495,1600,,1.291316527,1.184323859,0.856733524,0.71875,,1459.802873
77084,Houston,TX,Houston,Harris,6,973,1304,1475,1650,,1.294970517,1.161111111,0.853514303,0.719716394,,1473.787373
77084,Houston,TX,Houston,Harris,7,1055,1316,1450,1695,,1.358685725,1.173432233,0.851426293,0.715892186,,1492.170425
10002,New York,NY,New York,New York,1,2500,3100,4500,,,,,,,,
10002,New York,NY,New York,New York,2,2500,3074.5,4500,,,,,,,,
10002,New York,NY,New York,New York,3,2525,3200,4650,,,,,,,,
10002,New York,NY,New York,New York,4,2597,3295,4672.5,,,,,,,,
10002,New York,NY,New York,New York,5,2550,3250,4725,,,,,,,,
10002,New York,NY,New York,New York,6,2600,3250,4595,,,,,,,,
10002,New York,NY,New York,New York,7,2650,3250,4685,,,,,,,,
10467,New York,NY,New York,Bronx,1,1450,1750,2150,,,,,,,,
10467,New York,NY,New York,Bronx,2,1450,1750,2195,,,,,,,,
10467,New York,NY,New York,Bronx,3,1475,1800,2150,,,,,,,,
10467,New York,NY,New York,Bronx,4,1450,1800,2150,,,,,,,,
10467,New York,NY,New York,Bronx,5,1416,1775,2175,,,,,,,,
10467,New York,NY,New York,Bronx,6,1450,1800,2200,,,,,,,,
10467,New York,NY,New York,Bronx,7,1425,1800,2175,,,,,,,,
60640,Chicago,IL,Chicago,Cook,1,1245,1600,2125,,,,1.691011236,1.375,,,1245.816974
60640,Chicago,IL,Chicago,Cook,2,1250,1650,2150,,,,1.75,1.45,,,1212.807882
60640,Chicago,IL,Chicago,Cook,3,1260,1650,2175,,,,1.714141414,1.5625,,,1177.290513
60640,Chicago,IL,Chicago,Cook,4,1275,1670,2100,,,,1.68625,1.572916667,,,1162.731285
60640,Chicago,IL,Chicago,Cook,5,1271,1650,2200,,,,1.683,1.548430736,,,1200.592724
60640,Chicago,IL,Chicago,Cook,6,1267.5,1650,2150,,,,1.697293144,1.541666667,,,1183.365366
60640,Chicago,IL,Chicago,Cook,7,1300,1650,2150,,,,1.75,1.555555556,,,1162.5
94109,San Francisco,CA,San Francisco,San Francisco,1,2995,4425,,,,4.669781931,4.363636364,,,,827.7100359
94109,San Francisco,CA,San Francisco,San Francisco,2,3145,4495,,,,4.717246937,4.362573578,,,,848.5287729
94109,San Francisco,CA,San Francisco,San Francisco,3,3150,4500,,,,4.787234043,4.448051948,,,,834.8394161
