zipcode,city,state,metro,county,month,1_br_total,2_br_total,3_br_total,4_br_total,5+_br_total,1_br_psqft,2_br_psqft,3_br_psqft,4_br_psqft,5+_br_psqft,avg_house_size
10023,New York,NY,New York,New York,1,1390000,2750000,4995000,6995000,,1837.440469,1954.402452,2150.574529,2428.630363,,1841.60654
10023,New York,NY,New York,New York,2,1285000,2670000,4995000,6995000,,1825.863546,1916.946309,2084.483512,2434.027035,,1841.683036
10023,New York,NY,New York,New York,3,1295000,2725000,4900000,7142500,,1848.364718,1952.799602,2038.615572,2454.991817,,1852.25552
10023,New York,NY,New York,New York,4,1392500,2737500,4900000,7295000,,1866.158868,2041.995233,2035.001628,2469.947063,,1862.037698
10023,New York,NY,New York,New York,5,1250000,2695000,4875000,6995000,,1800.609185,2064.559516,2013.450327,2413.532078,,1829.757899
10023,New York,NY,New York,New York,6,1237500,2660000,4650000,6995000,,1752.692606,1981.39437,2045.81676,2377.094246,,1816.036152
10023,New York,NY,New York,New York,7,1295000,2737500,4625000,6995000,,1799.768455,2064.559516,2045.81676,2413.532078,,1801.109616
11375,New York,NY,New York,Queens,1,316500,475000,,,,,,,,,
11375,New York,NY,New York,Queens,2,319000,502000,,,,,,,,,
11375,New York,NY,New York,Queens,3,319000,528500,,,,,,,,,
11375,New York,NY,New York,Queens,4,349000,595000,,,,,,,,,
11375,New York,NY,New York,Queens,5,339000,597600,,,,,,,,,
11375,New York,NY,New York,Queens,6,399000,609500,,,,,,,,,
11375,New York,NY,New York,Queens,7,399000,610000,,,,,,,,,
10128,New York,NY,New York,New York,1,972500,2490000,3677000,6547500,,,1803.571429,2017.634576,,,1601.51258
10128,New York,NY,New York,New York,2,950000,2252500,3790000,6450000,,,1783.753069,2049.780381,,,1555.882733
10128,New York,NY,New York,New York,3,862250,2280000,3877500,6261000,,,1796.507723,2055.007312,,,1577.991786
10128,New York,NY,New York,New York,4,885000,2574000,3925000,6261000,,,1798.122972,2131.03204,,,1636.661671
10128,New York,NY,New York,New York,5,889500,2428500,3792500,6138000,,,1729.166667,2055.555556,,,1624.716867
10128,New York,NY,New York,New York,6,882250,2240000,4155000,6250000,,,1589.285714,2055.555556,,,1715.394777
10128,New York,NY,New York,New York,7,855000,2215000,4032000,6395000,,,1577.099822,2055.555556,,,1682.995121
20002,Washington,DC,Washington,District of Columbia,1,409900,564450,697000,854950,,,532.7671975,498.6684421,,,1228.595339
20002,Washington,DC,Washington,District of Columbia,2,419900,577400,699950,830000,,,543.4143017,495.0440529,,,1238.227808
20002,Washington,DC,Washington,District of Columbia,3,409900,579900,739000,834500,,,552.917232,509.2592593,,,1249.964004
20002,Washington,DC,Washington,District of Columbia,4,419900,575000,750000,830000,,,531.6885965,526.3671875,,,1253.160474
20002,Washington,DC,Washington,District of Columbia,5,414900,575000,749000,898500,,,541.6205006,518.153527,,,1253.573231
20002,Washington,DC,Washington,District of Columbia,6,399499.5,575000,749450,901960,,,558.1620945,542.798913,,,1205.440294
20002,Washington,DC,Washington,District of Columbia,7,394450,569000,749949.5,899000,,,531.25,541.7281762,,,1227.711887
20009,Washington,DC,Washington,District of Columbia,1,392000,699250,,,,617.2839506,653.7311752,,,,852.3346352
20009,Washington,DC,Washington,District of Columbia,2,399325,699250,,,,644.2007797,690.6524901,,,,816.1625023
20009,Washington,DC,Washington,District of Columbia,3,414900,699500,,,,651.5828678,693.0405995,,,,823.0387258
20009,Washington,DC,Washington,District of Columbia,4,417000,699500,,,,633.3333333,658.5832404,,,,860.2747541
20009,Washington,DC,Washington,District of Columbia,5,417000,679900,,,,647.155812,659.41247,,,,837.7136659
20009,Washington,DC,Washington,District of Columbia,6,415000,681950,,,,655.8309038,655.9094436,,,,836.243257
20009,Washington,DC,Washington,District of Columbia,7,418500,674450,,,,665.625,664.3299645,,,,821.9829208
10003,New York,NY,New York,New York,1,1407500,3025000,,,,1879.901961,2346.733668,,,,1018.867476
10003,New York,NY,New York,New York,2,1475000,3000000,,,,1876.470588,2281.407035,,,,1050.514065
10003,New York,NY,New York,New York,3,1491944,2999999,,,,1876.470588,2320.887992,,,,1043.84407
10003,New York,NY,New York,New York,4,1540000,3127500,,,,1898.734177,2346.733668,,,,1071.885046
10003,New York,NY,New York,New York,5,1555000,3000000,,,,1926.310044,2348.443474,,,,1042.342353
10003,New York,NY,New York,New York,6,1525000,3000000,,,,1916.666667,2354.570637,,,,1034.88491
10003,New York,NY,New York,New York,7,1522500,3150000,,,,1898.734177,2382.875606,,,,1061.891102
7030,Hoboken,NJ,New York,Hudson,1,499000,800000,1865000,,,746.1375567,710.5268261,925,,,1270.306273
7030,Hoboken,NJ,New York,Hudson,2,499000,830000,1850000,,,749.5236977,716.5008792,912.5,,,1283.853635
7030,Hoboken,NJ,New York,Hudson,3,502000,799000,1687500,,,758.3120409,718.1818182,843.5350089,,,1258.345998
7030,Hoboken,NJ,New York,Hudson,4,507053.5,799000,1735000,,,752.6057644,714.6055437,824.8968879,,,1298.374365
7030,Hoboken,NJ,New York,Hudson,5,538000,799000,1689500,,,733.7100045,725.4545455,840.4689093,,,1281.608521
7030,Hoboken,NJ,New York,Hudson,6,525000,799000,1725000,,,750.776877,737.7740304,843.7200384,,,1275.59338
7030,Hoboken,NJ,New York,Hudson,7,534000,767000,1630000,,,746.044666,721.0884354,824.5,,,1252.13346
33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,1,259000,550000,1299000,2950000,,288.5572139,373.2261116,592.1698057,858.7382779,701.4927652,2000.026636
33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,2,250000,557000,1300000,2950000,,288.6334457,382.269238,599.1736194,916.2279535,687.3090808,1928.1541
33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,3,249900,565000,1277500,2950000,,288.7748756,386.8828298,597.2737871,916.8755221,627.8878779,1920.526078
33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,4,250000,559000,1349000,3045000,,290.3225806,386.8828298,618.9994947,961.2936084,601.1571144,1913.230726
33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,5,259000,565000,1350000,3000000,,286.8159204,380.334667,620.7877283,890.000141,676.7762852,1983.498594
33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,6,249900,567000,1299000,2999000,,278.6069652,387.3747495,602.757431,855.8789954,705.0457302,2004.9393
33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,7,249950,559450,1300000,2970000,,275,384.6153846,606.1858787,860.4654493,761.0088189,1989.914024
10019,New York,NY,New York,New York,1,1463000,,,,,1789.181692,1920.115496,2640.671273,,,817.6922481
10019,New York,NY,New York,New York,2,1369000,,,,,1786.644819,1965.511472,2735.628054,,,766.240713
10019,New York,NY,New York,New York,3,1250000,,,,,1817.846608,2031.703397,2761.448185,,,687.6267748
